event_id,dataset_source,source_file,event_type,lane_id,event_onset_s,window_start_s,window_end_s,event_duration_s
0,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,5,1113433822.7,1113433812.7,1113433822.7,17.09999990463257
1,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,5,1113433890.5,1113433880.5,1113433890.5,22.90000009536743
2,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,6,1113433689.0,1113433679.0,1113433689.0,29.200000047683716
3,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,6,1113433790.5,1113433780.5,1113433790.5,48.09999990463257
4,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,2,1113433390.1,1113433380.1,1113433390.1,42.60000014305115
5,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,2,1113433744.1,1113433734.1,1113433744.1,31.5
6,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,7,1113433842.8,1113433832.8,1113433842.8,6.900000095367432
7,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,queue,7,1113433936.7,1113433926.7,1113433936.7,15.899999856948853
8,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,4,1113436876.8,1113436866.8,1113436876.8,26.799999952316284
9,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,4,1113437205.3,1113437195.3,1113437205.3,22.700000047683716
10,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,4,1113437235.7,1113437225.7,1113437235.7,11.200000047683716
11,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113436840.7,1113436830.7,1113436840.7,15.299999952316284
12,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113437345.6,1113437335.6,1113437345.6,13.300000190734863
13,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113437378.2,1113437368.2,1113437378.2,15.099999904632568
14,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113437526.1,1113437516.1,1113437526.1,6.0
15,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113436920.7,1113436910.7,1113436920.7,19.399999856948853
