lead_time_s,cumulative_fraction
0.033333,0.010417
0.033333,0.020833
0.033333,0.03125
0.033333,0.041667
0.033333,0.052083
0.033333,0.0625
0.033333,0.072917
0.033333,0.083333
0.033333,0.09375
0.033333,0.104167
0.033333,0.114583
0.033333,0.125
0.033333,0.135417
0.066667,0.145833
0.066667,0.15625
0.066667,0.166667
0.1,0.177083
0.1,0.1875
0.1,0.197917
0.166667,0.208333
0.233333,0.21875
0.266667,0.229167
0.3,0.239583
0.333333,0.25
0.366667,0.260417
0.433333,0.270833
0.5,0.28125
0.5,0.291667
0.633333,0.302083
0.733333,0.3125
0.766667,0.322917
0.833333,0.333333
1.033333,0.34375
1.133333,0.354167
1.2,0.364583
1.266667,0.375
1.266667,0.385417
1.566667,0.395833
1.7,0.40625
1.8,0.416667
1.966667,0.427083
2.2,0.4375
2.4,0.447917
2.433333,0.458333
2.433333,0.46875
2.666667,0.479167
2.666667,0.489583
2.866667,0.5
3.066667,0.510417
3.066667,0.520833
3.1,0.53125
3.233333,0.541667
3.4,0.552083
3.466667,0.5625
3.8,0.572917
3.933333,0.583333
4.133333,0.59375
4.233333,0.604167
4.3,0.614583
4.466667,0.625
4.866667,0.635417
4.966667,0.645833
5.166667,0.65625
5.166667,0.666667
5.233333,0.677083
5.5,0.6875
5.533333,0.697917
5.666667,0.708333
5.7,0.71875
5.733333,0.729167
5.8,0.739583
5.866667,0.75
5.866667,0.760417
6.333333,0.770833
6.466667,0.78125
6.6,0.791667
7.1,0.802083
7.166667,0.8125
7.333333,0.822917
7.333333,0.833333
7.366667,0.84375
7.766667,0.854167
7.8,0.864583
7.833333,0.875
7.833333,0.885417
7.966667,0.895833
8.166667,0.90625
8.166667,0.916667
8.566667,0.927083
8.7,0.9375
9.233333,0.947917
9.233333,0.958333
9.266667,0.96875
9.266667,0.979167
9.733333,0.989583
9.933333,1.0
